id,ccode,date,statenme,year,gwf_casename,coup,milcoup,nonmilcoup,success,type,cwc_coding,type2,cwc_coding2,srofficial,jrofficer,sameeth,anyethclaim,coupleadereth,relative,relationship,anyoutsidesupport,outsidesupporters,coder,ambiguous,staged
90-1960-7-18,90,7/18/1960,Guatemala,1960,Guatemala 58-63,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Left-wing revolutionaries,JC,,
90-1960-11-13,90,11/13/1960,Guatemala,1960,Guatemala 58-63,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Cuba; Revolutionary Party,JC,,
90-1962-11-25,90,11/25/1962,Guatemala,1962,Guatemala 58-63,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,1,Castillo Armas loyalists,JC,,
90-1963-3-30,90,3/30/1963,Guatemala,1963,Guatemala 58-63,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,1,0,1,0,,0,,0,,JC,,
90-1982-3-23,90,3/23/1982,Guatemala,1982,Guatemala 70-85,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,0,0,1,0,,0,,1,"National Liberation Movement (MLN), Castillo Armas loyalists",JC,,
90-1983-6-27,90,6/27/1983,Guatemala,1983,Guatemala 70-85,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,1,MLN,JC,,
90-1983-8-8,90,8/8/1983,Guatemala,1983,Guatemala 70-85,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,0,,JC,,
90-1988-5-11,90,5/11/1988,Guatemala,1988,Guatemala 85-95,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Right-wing civilians,JC,,
90-1989-5-9,90,5/9/1989,Guatemala,1989,Guatemala 85-95,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,0,,"JC, DD",,
90-1993-6-1,90,6/1/1993,Guatemala,1993,Guatemala 85-95,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,1,Protestors,JC,,
91-1956-8-1,91,8/1/1956,Honduras,1956,Honduras 33-56,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,"Liberal Party, university students",JC,,1
91-1956-10-21,91,10/21/1956,Honduras,1956,Honduras 33-56,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,1,0,1,0,,0,,1,Liberal Party,JC,,
91-1959-7-12,91,7/12/1959,Honduras,1959,Honduras 57-63,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
91-1963-10-3,91,10/3/1963,Honduras,1963,Honduras 57-63,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
91-1972-12-4,91,12/4/1972,Honduras,1972,Honduras 71-72,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
91-1975-4-22,91,4/22/1975,Honduras,1975,Honduras 72-81,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,0,,JC,,
91-1978-8-7,91,8/7/1978,Honduras,1978,Honduras 72-81,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,0,,JC,,
91-2009-6-28,91,6/28/2009,Honduras,2009,Honduras 81-NA,Coup,Military Coup,0,1,AD,successful anti-democratic coup,SH,successful reshuffling coup,,,1,0,,,,,,,,
92-1948-12-14,92,12/14/1948,El Salvador,1948,El Salvador 31-48,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,1,1,0,,0,,1,Exiled officers,JC,,
92-1960-10-26,92,10/26/1960,El Salvador,1960,El Salvador 48-82,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,1,National Civic Orientation Front,JC,,
92-1961-1-25,92,1/25/1961,El Salvador,1961,El Salvador 48-82,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,0,1,1,0,,0,,0,0,JC,,
92-1972-3-25,92,3/25/1972,El Salvador,1972,El Salvador 48-82,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,José Napoleon Duarte / Christian Democrats,JC,,
92-1979-10-15,92,10/15/1979,El Salvador,1979,El Salvador 48-82,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,0,0,1,0,,0,,1,Archbishop Oscar Romero; Christian Democrats,JC,,
92-1980-5-10,92,5/10/1980,El Salvador,1980,El Salvador 48-82,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,1,General Jorge Volio,JC,,
94-1949-4-2,94,4/2/1949,Costa Rica,1949,Costa Rica 48-49,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,0,JC,,
95-1949-11-24,95,11/24/1949,Panama,1949,Panama 45-49,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
95-1951-5-10,95,5/10/1951,Panama,1951,Panama 49-51,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,1,0,1,0,,0,,1,Protestors,JC,,
95-1968-10-11,95,10/11/1968,Panama,1968,Panama 55-68,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
95-1969-12-14,95,12/14/1969,Panama,1969,Panama 68-82,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,JC,,
95-1982-3-3,95,3/3/1982,Panama,1982,Panama 68-82,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,0,,JC,1,
95-1985-9-25,95,9/25/1985,Panama,1985,Panama 82-89,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,JC,1,
95-1988-3-16,95,3/16/1988,Panama,1988,Panama 82-89,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,"JC, DD",,
95-1989-10-3,95,10/3/1989,Panama,1989,Panama 82-89,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,1,U.S. support - two CIA agents,"JC, DD",,
100-1953-6-13,100,6/13/1953,Colombia,1953,Colombia 49-53,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,0,,JC,,
100-1957-5-10,100,5/10/1957,Colombia,1957,Colombia 53-58,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,1,Protestors,JC,,
100-1958-5-2,100,5/2/1958,Colombia,1958,Colombia 53-58,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,JC,,
101-1946-9-16,101,9/16/1946,Venezuela,1946,Venezuela 45-47,Coup,Military Coup,0,2,PR,failed provisional coup,CH,failed regime change coup,,,1,0,,,,,,,1,
101-1946-12-11,101,12/11/1946,Venezuela,1946,Venezuela 45-47,Coup,Military Coup,0,2,PR,failed provisional coup,SH,failed reshuffling coup,,,1,0,,,,,,,,
101-1947-9-12,101,9/12/1947,Venezuela,1947,Venezuela 45-47,Coup,Military Coup,0,2,PR,failed provisional coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1948-11-24,101,11/24/1948,Venezuela,1948,Venezuela 47-48,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
101-1952-9-29,101,9/29/1952,Venezuela,1952,Venezuela 48-58,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Acción Democrática,JC,,
101-1958-1-1,101,1/1/1958,Venezuela,1958,Venezuela 48-58,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,0,,JC,,
101-1958-1-23,101,1/23/1958,Venezuela,1958,Venezuela 48-58,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,Patriotic Junta (JP),JC,,
101-1958-7-22,101,7/22/1958,Venezuela,1958,Venezuela 58-58 (new),Coup,Military Coup,0,2,PR,failed provisional coup,SH,failed reshuffling coup,,,1,0,,,,,,,,
101-1958-9-7,101,9/7/1958,Venezuela,1958,Venezuela 58-58 (new),Coup,Military Coup,0,2,PR,failed provisional coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1960-4-20,101,4/20/1960,Venezuela,1960,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1960-9-12,101,9/12/1960,Venezuela,1960,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1961-2-20,101,2/20/1961,Venezuela,1961,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1961-6-26,101,6/26/1961,Venezuela,1961,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1962-5-4,101,5/4/1962,Venezuela,1962,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1962-6-2,101,6/2/1962,Venezuela,1962,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1966-10-30,101,10/30/1966,Venezuela,1966,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1992-2-4,101,2/4/1992,Venezuela,1992,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-1992-11-27,101,11/27/1992,Venezuela,1992,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-2002-4-12,101,4/12/2002,Venezuela,2002,Venezuela 58-05,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
101-2019-4-30,101,4/30/2019,Venezuela,2019,Venezuela 05-NA,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,0,1,0,,0,,1,Protestors; United States,JC,,
115-1980-2-25,115,2/25/1980,Suriname,1980,Suriname 75-80,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
115-1982-3-11,115,3/11/1982,Suriname,1982,Suriname 80-88,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,,,1,,,,,,,,,
115-1990-12-24,115,12/24/1990,Suriname,1990,Suriname 88-91,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,,,1,0,,,,,,,,
130-1947-8-23,130,8/23/1947,Ecuador,1947,Ecuador 44-47,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,1,0,1,0,,0,,0,,JC,,
130-1947-9-3,130,9/3/1947,Ecuador,1947,Ecuador 47-48,Coup,Military Coup,0,1,PR,successful provisional coup,SH,successful reshuffling coup,,,1,0,,,,,,,,
130-1949-7-26,130,7/26/1949,Ecuador,1949,Ecuador 48-63,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
130-1950-7-15,130,7/15/1950,Ecuador,1950,Ecuador 48-63,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
130-1954-12-23,130,12/23/1954,Ecuador,1954,Ecuador 48-63,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
130-1956-8-7,130,8/7/1956,Ecuador,1956,Ecuador 48-63,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
130-1961-11-7,130,11/7/1961,Ecuador,1961,Ecuador 48-63,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
130-1963-7-11,130,7/11/1963,Ecuador,1963,Ecuador 48-63,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
130-1966-3-29,130,3/29/1966,Ecuador,1966,Ecuador 63-66,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,Protestors; Political Parties,JC,,
130-1972-2-15,130,2/15/1972,Ecuador,1972,Ecuador 70-72,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,0,,JC,,
130-1975-9-1,130,9/1/1975,Ecuador,1975,Ecuador 72-79,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,1,Civic Junta,JC,,
130-1976-1-11,130,1/11/1976,Ecuador,1976,Ecuador 72-79,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,0,,JC,,
130-1986-3-13,130,3/13/1986,Ecuador,1986,Ecuador 79-NA,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
130-2000-1-21,130,1/21/2000,Ecuador,2000,Ecuador 79-NA,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,1,0,0,1,Whites & Indigenous,0,,1,CONAIE,JC,,
135-1948-7-5,135,7/5/1948,Peru,1948,Peru 45-48,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
135-1948-10-3,135,10/3/1948,Peru,1948,Peru 45-48,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
135-1948-10-29,135,10/29/1948,Peru,1948,Peru 45-48,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
135-1954-8-10,135,8/10/1954,Peru,1954,Peru 48-56,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,JC,,1
135-1956-2-16,135,2/16/1956,Peru,1956,Peru 48-56,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,0,1,0,,0,,1,Pedro Beltran / La Prensa,JC,,
135-1962-7-18,135,7/18/1962,Peru,1962,Peru 56-62,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
135-1963-3-3,135,3/3/1963,Peru,1963,Peru 62-63,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,0,,JC,,
135-1968-10-3,135,10/3/1968,Peru,1968,Peru 63-68,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
135-1975-8-29,135,8/29/1975,Peru,1975,Peru 68-80,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,0,,JC,,
135-1992-11-13,135,11/13/1992,Peru,1992,Peru 92-00,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Retired officers; Ex-Pres. Garcia loyalists,JC,1,
135-2000-10-30,135,10/30/2000,Peru,2000,Peru 92-00,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,0,1,0,,0,,0,,"JC, DD",,1
140-1955-11-11,140,11/11/1955,Brazil,1955,Brazil 45-64,Coup,Military Coup,0,1,AD,successful anti-democratic coup,SH,successful reshuffling coup,,,1,0,,,,,,,,
140-1955-11-21,140,11/21/1955,Brazil,1955,Brazil 45-64,Coup,Military Coup,0,1,AD,successful anti-democratic coup,SH,successful reshuffling coup,,,1,0,,,,,,,,
140-1956-2-11,140,2/11/1956,Brazil,1956,Brazil 45-64,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
140-1959-12-3,140,12/3/1959,Brazil,1959,Brazil 45-64,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
140-1961-8-26,140,8/26/1961,Brazil,1961,Brazil 45-64,Coup,Military Coup,0,2,AD,failed anti-democratic coup,CH,failed regime change coup,,,1,0,,,,,,,,
140-1964-4-1,140,4/1/1964,Brazil,1964,Brazil 45-64,Coup,Military Coup,0,1,AD,successful anti-democratic coup,CH,successful regime change coup,,,1,0,,,,,,,,
140-1969-8-31,140,8/31/1969,Brazil,1969,Brazil 64-85,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,1,0,1,0,,0,,0,,JC,,
145-1946-6-13,145,6/13/1946,Bolivia,1946,Bolivia 43-46,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Young civilian dissidents,JC,,
145-1949-8-27,145,8/27/1949,Bolivia,1949,Bolivia 46-51,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,MNR,JC,,
145-1950-7-22,145,7/22/1950,Bolivia,1950,Bolivia 46-51,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Bolivian Socialist Falange (FSB) or MNR,JC,,
145-1951-5-16,145,5/16/1951,Bolivia,1951,Bolivia 46-51,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,0,,JC,,
145-1952-4-11,145,4/11/1952,Bolivia,1952,Bolivia 51-52,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,National Revolutionary Movement (MNR),JC,,
145-1953-1-6,145,1/6/1953,Bolivia,1953,Bolivia 52-64,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,JC,,
145-1953-11-9,145,11/9/1953,Bolivia,1953,Bolivia 52-64,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Bolivian Socialist Falange (FSB),JC,,
145-1958-5-14,145,5/14/1958,Bolivia,1958,Bolivia 52-64,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Bolivian Socialist Falange (FSB),JC,,
145-1958-10-21,145,10/21/1958,Bolivia,1958,Bolivia 52-64,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,1,1,0,,0,,1,Bolivian Socialist Falange (FSB),JC,,
145-1960-3-19,145,3/19/1960,Bolivia,1960,Bolivia 52-64,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,0,,JC,,
145-1964-11-4,145,11/4/1964,Bolivia,1964,Bolivia 52-64,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,1,0,1,0,,0,,1,Juan Lechin; Miners; Students,JC,,
145-1968-8-21,145,8/21/1968,Bolivia,1968,Bolivia 64-69,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,1,National Revolutionary Party of the Left (PRIN),JC,,
145-1969-9-26,145,9/26/1969,Bolivia,1969,Bolivia 64-69,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,Leftist civilians,JC,,
145-1970-10-5,145,10/5/1970,Bolivia,1970,Bolivia 69-71,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,0,,JC,,
145-1970-10-6,145,10/6/1970,Bolivia,1970,Bolivia 69-71,Coup,Military Coup,0,1,SH,successful reshuffling coup,SH,successful reshuffling coup,0,0,1,0,,0,,1,COB,JC,,
145-1971-1-10,145,1/10/1971,Bolivia,1971,Bolivia 69-71,Coup,Military Coup,0,2,CH,failed regime change coup,CH,failed regime change coup,0,0,1,0,,0,,1,MNR and FSB civilian elites,"JC, DD",,
145-1971-8-22,145,8/22/1971,Bolivia,1971,Bolivia 69-71,Coup,Military Coup,0,1,CH,successful regime change coup,CH,successful regime change coup,0,0,1,0,,0,,1,Banzer; MNR; Bolivian Socialist Falange (FSB),JC,,
145-1974-6-5,145,6/5/1974,Bolivia,1974,Bolivia 71-79,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,0,0,1,0,,0,,1,MNR,JC,,
145-1974-11-7,145,11/7/1974,Bolivia,1974,Bolivia 71-79,Coup,Military Coup,0,2,SH,failed reshuffling coup,SH,failed reshuffling coup,1,0,1,0,,0,,1,Paz loyalists; Bolivian Socialist Falange (FSB),JC,,
